tweet,original_sentiment,conllu_parse
"By evacuating their nationals from China, nations are only helping Corona Virus Disease to become a Global Epidemic..!!",neutral,"# text = By evacuating their nationals from China, nations are only helping Corona Virus Disease to become a Global Epidemic..!!
1	By	by	ADP	IN	_	11	prep	_	_
2	evacuating	evacuate	VERB	VBG	_	1	pcomp	_	_
3	their	their	PRON	PRP$	_	4	poss	_	_
4	nationals	national	NOUN	NNS	_	2	dobj	_	_
5	from	from	ADP	IN	_	4	prep	_	_
6	China	China	PROPN	NNP	_	5	pobj	_	_
7	,	,	PUNCT	,	_	11	punct	_	_
8	nations	nation	NOUN	NNS	_	11	nsubj	_	_
9	are	be	AUX	VBP	_	11	aux	_	_
10	only	only	ADV	RB	_	11	advmod	_	_
11	helping	help	VERB	VBG	_	0	ROOT	_	_
12	Corona	Corona	PROPN	NNP	_	13	compound	_	_
13	Virus	Virus	PROPN	NNP	_	14	compound	_	_
14	Disease	Disease	PROPN	NNP	_	11	dobj	_	_
15	to	to	PART	TO	_	16	aux	_	_
16	become	become	VERB	VB	_	11	advcl	_	_
17	a	a	DET	DT	_	19	det	_	_
18	Global	Global	PROPN	NNP	_	19	compound	_	_
19	Epidemic	Epidemic	PROPN	NNP	_	16	attr	_	_
20	..	..	PUNCT	.	_	11	punct	_	_
21	!	!	PUNCT	.	_	11	punct	_	_
22	!	!	PUNCT	.	_	11	punct	_	_"
Coronavirus declared global health emergency by World Health Organization #SmartNews,neutral,"# text = Coronavirus declared global health emergency by World Health Organization #SmartNews
1	Coronavirus	Coronavirus	PROPN	NNP	_	2	nsubj	_	_
2	declared	declare	VERB	VBD	_	0	ROOT	_	_
3	global	global	ADJ	JJ	_	5	amod	_	_
4	health	health	NOUN	NN	_	5	compound	_	_
5	emergency	emergency	NOUN	NN	_	2	dobj	_	_
6	by	by	ADP	IN	_	5	prep	_	_
7	World	World	PROPN	NNP	_	9	compound	_	_
8	Health	Health	PROPN	NNP	_	9	compound	_	_
9	Organization	Organization	PROPN	NNP	_	6	pobj	_	_
10	#	#	SYM	$	_	11	nmod	_	_
11	SmartNews	SmartNews	PROPN	NNP	_	2	punct	_	_"
@chaser You do not have the Coronavirus.,neutral,"# text = @chaser
1	@chaser	@chaser	PROPN	NNP	_	0	ROOT	_	_

# text = You do not have the Coronavirus.
1	You	you	PRON	PRP	_	4	nsubj	_	_
2	do	do	AUX	VBP	_	4	aux	_	_
3	not	not	PART	RB	_	4	neg	_	_
4	have	have	VERB	VB	_	0	ROOT	_	_
5	the	the	DET	DT	_	6	det	_	_
6	Coronavirus	Coronavirus	PROPN	NNP	_	4	dobj	_	_
7	.	.	PUNCT	.	_	4	punct	_	_"
@andylassner Don't worry. They are working hard on tax cuts and the fed rate to counteract coronavirus.,negative,"# text = @andylassner Don't worry.
1	@andylassner	@andylassner	PROPN	NNP	_	4	nsubj	_	_
2	Do	do	AUX	VBP	_	4	aux	_	_
3	n't	not	PART	RB	_	4	neg	_	_
4	worry	worry	VERB	VB	_	0	ROOT	_	_
5	.	.	PUNCT	.	_	4	punct	_	_

# text = They are working hard on tax cuts and the fed rate to counteract coronavirus.
1	They	they	PRON	PRP	_	3	nsubj	_	_
2	are	be	AUX	VBP	_	3	aux	_	_
3	working	work	VERB	VBG	_	0	ROOT	_	_
4	hard	hard	ADV	RB	_	3	advmod	_	_
5	on	on	ADP	IN	_	3	prep	_	_
6	tax	tax	NOUN	NN	_	7	compound	_	_
7	cuts	cut	NOUN	NNS	_	5	pobj	_	_
8	and	and	CCONJ	CC	_	7	cc	_	_
9	the	the	DET	DT	_	11	det	_	_
10	fed	fed	PROPN	NNP	_	11	compound	_	_
11	rate	rate	NOUN	NN	_	7	conj	_	_
12	to	to	ADP	IN	_	3	prep	_	_
13	counteract	counteract	VERB	VB	_	14	compound	_	_
14	coronavirus	coronavirus	NOUN	NN	_	12	pobj	_	_
15	.	.	PUNCT	.	_	3	punct	_	_"
"Secretive military base outside Paris hit by coronavirus, French defense minister confirms — RT World News",negative,"# text = Secretive military base outside Paris hit by coronavirus, French defense minister confirms — RT World News
1	Secretive	secretive	ADJ	JJ	_	3	amod	_	_
2	military	military	ADJ	JJ	_	3	amod	_	_
3	base	base	NOUN	NN	_	13	nsubj	_	_
4	outside	outside	ADP	IN	_	3	prep	_	_
5	Paris	Paris	PROPN	NNP	_	4	pobj	_	_
6	hit	hit	VERB	VBN	_	3	acl	_	_
7	by	by	ADP	IN	_	6	agent	_	_
8	coronavirus	coronavirus	NOUN	NN	_	7	pobj	_	_
9	,	,	PUNCT	,	_	13	punct	_	_
10	French	french	ADJ	JJ	_	12	amod	_	_
11	defense	defense	NOUN	NN	_	12	compound	_	_
12	minister	minister	NOUN	NN	_	13	nsubj	_	_
13	confirms	confirm	VERB	VBZ	_	0	ROOT	_	_
14	—	—	PUNCT	:	_	13	punct	_	_
15	RT	RT	PROPN	NNP	_	17	compound	_	_
16	World	World	PROPN	NNP	_	17	compound	_	_
17	News	News	PROPN	NNP	_	13	dobj	_	_"
Who tf convinced my drunk ass to go to edclv instead of Thailand?! I had already sold my ticket I'm risking coronavirus no matter what,negative,"# text = Who tf convinced my drunk ass to go to edclv instead of Thailand?!
1	Who	who	PRON	WP	_	3	nsubj	_	_
2	tf	tf	INTJ	UH	_	3	intj	_	_
3	convinced	convince	VERB	VBD	_	0	ROOT	_	_
4	my	my	PRON	PRP$	_	6	poss	_	_
5	drunk	drunk	ADJ	JJ	_	6	amod	_	_
6	ass	ass	NOUN	NN	_	3	dobj	_	_
7	to	to	PART	TO	_	8	aux	_	_
8	go	go	VERB	VB	_	3	xcomp	_	_
9	to	to	ADP	IN	_	8	prep	_	_
10	edclv	edclv	PROPN	NNP	_	9	pobj	_	_
11	instead	instead	ADV	RB	_	12	advmod	_	_
12	of	of	ADP	IN	_	8	prep	_	_
13	Thailand	Thailand	PROPN	NNP	_	12	pobj	_	_
14	?	?	PUNCT	.	_	3	punct	_	_
15	!	!	PUNCT	.	_	3	punct	_	_

# text = I had already sold my ticket I'm risking coronavirus no matter what
1	I	I	PRON	PRP	_	4	nsubj	_	_
2	had	have	AUX	VBD	_	4	aux	_	_
3	already	already	ADV	RB	_	4	advmod	_	_
4	sold	sell	VERB	VBN	_	0	ROOT	_	_
5	my	my	PRON	PRP$	_	6	poss	_	_
6	ticket	ticket	NOUN	NN	_	4	dobj	_	_
7	I	I	PRON	PRP	_	9	nsubj	_	_
8	'm	be	AUX	VBP	_	9	aux	_	_
9	risking	risk	VERB	VBG	_	4	ccomp	_	_
10	coronavirus	coronavirus	NOUN	NN	_	9	dobj	_	_
11	no	no	ADV	RB	_	12	neg	_	_
12	matter	matter	ADV	RB	_	9	advmod	_	_
13	what	what	PRON	WP	_	4	dep	_	_"
Health groups step up UK coronavirus plans to reassure vulnerable,negative,"# text = Health groups step up UK coronavirus plans to reassure vulnerable
1	Health	health	NOUN	NN	_	2	compound	_	_
2	groups	group	NOUN	NNS	_	3	nsubj	_	_
3	step	step	VERB	VBP	_	0	ROOT	_	_
4	up	up	ADP	RP	_	3	prt	_	_
5	UK	UK	PROPN	NNP	_	7	compound	_	_
6	coronavirus	coronavirus	NOUN	NN	_	7	compound	_	_
7	plans	plan	NOUN	NNS	_	3	dobj	_	_
8	to	to	PART	TO	_	9	aux	_	_
9	reassure	reassure	VERB	VB	_	7	acl	_	_
10	vulnerable	vulnerable	ADJ	JJ	_	9	acomp	_	_"
Nigerian student from China tests negative to COVID-19,negative,"# text = Nigerian student from China tests negative to COVID-19
1	Nigerian	nigerian	ADJ	JJ	_	2	amod	_	_
2	student	student	NOUN	NN	_	5	nsubj	_	_
3	from	from	ADP	IN	_	2	prep	_	_
4	China	China	PROPN	NNP	_	3	pobj	_	_
5	tests	test	VERB	VBZ	_	0	ROOT	_	_
6	negative	negative	ADJ	JJ	_	5	acomp	_	_
7	to	to	ADP	IN	_	6	prep	_	_
8	COVID-19	covid-19	NOUN	NN	_	7	pobj	_	_"
@kathrynresister Coronavirus disproportionately affects immunosuppressed people like my wife. This is personal. Very personal.,neutral,"# text = @kathrynresister Coronavirus disproportionately affects immunosuppressed people like my wife.
1	@kathrynresister	@kathrynresister	PROPN	NNP	_	2	compound	_	_
2	Coronavirus	Coronavirus	PROPN	NNP	_	4	nsubj	_	_
3	disproportionately	disproportionately	ADV	RB	_	4	advmod	_	_
4	affects	affect	VERB	VBZ	_	5	nsubj	_	_
5	immunosuppressed	immunosuppresse	VERB	VBD	_	0	ROOT	_	_
6	people	people	NOUN	NNS	_	5	dobj	_	_
7	like	like	ADP	IN	_	6	prep	_	_
8	my	my	PRON	PRP$	_	9	poss	_	_
9	wife	wife	NOUN	NN	_	7	pobj	_	_
10	.	.	PUNCT	.	_	5	punct	_	_

# text = This is personal.
1	This	this	PRON	DT	_	2	nsubj	_	_
2	is	be	AUX	VBZ	_	0	ROOT	_	_
3	personal	personal	ADJ	JJ	_	2	acomp	_	_
4	.	.	PUNCT	.	_	2	punct	_	_

# text = Very personal.
1	Very	very	ADV	RB	_	2	advmod	_	_
2	personal	personal	ADJ	JJ	_	0	ROOT	_	_
3	.	.	PUNCT	.	_	2	punct	_	_"
"Guys instead of posting about corona virus, why don't u try to pray. Just pray and believe to god. There is no possible to him. üòá",neutral,"# text = Guys instead of posting about corona virus, why don't u try to pray.
1	Guys	guy	NOUN	NNS	_	13	dep	_	_
2	instead	instead	ADV	RB	_	3	advmod	_	_
3	of	of	ADP	IN	_	1	prep	_	_
4	posting	post	VERB	VBG	_	3	pcomp	_	_
5	about	about	ADP	IN	_	4	prep	_	_
6	corona	corona	PROPN	NNP	_	7	compound	_	_
7	virus	virus	NOUN	NN	_	5	pobj	_	_
8	,	,	PUNCT	,	_	13	punct	_	_
9	why	why	SCONJ	WRB	_	13	advmod	_	_
10	do	do	AUX	VBP	_	13	aux	_	_
11	n't	not	PART	RB	_	13	neg	_	_
12	u	u	PRON	PRP	_	13	nsubj	_	_
13	try	try	VERB	VB	_	0	ROOT	_	_
14	to	to	PART	TO	_	15	aux	_	_
15	pray	pray	VERB	VB	_	13	xcomp	_	_
16	.	.	PUNCT	.	_	13	punct	_	_

# text = Just pray and believe to god.
1	Just	just	ADV	RB	_	2	advmod	_	_
2	pray	pray	VERB	VB	_	0	ROOT	_	_
3	and	and	CCONJ	CC	_	2	cc	_	_
4	believe	believe	VERB	VB	_	2	conj	_	_
5	to	to	ADP	IN	_	4	prep	_	_
6	god	god	PROPN	NNP	_	5	pobj	_	_
7	.	.	PUNCT	.	_	2	punct	_	_

# text = There is no possible to him.
1	There	there	PRON	EX	_	2	expl	_	_
2	is	be	VERB	VBZ	_	0	ROOT	_	_
3	no	no	PRON	DT	_	4	neg	_	_
4	possible	possible	ADJ	JJ	_	2	acomp	_	_
5	to	to	ADP	IN	_	4	prep	_	_
6	him	he	PRON	PRP	_	5	pobj	_	_
7	.	.	PUNCT	.	_	2	punct	_	_

# text = üòá
1	üòá	üòá	PROPN	NNP	_	0	ROOT	_	_"
