tweet,original_sentiment,conllu_parse
China's coronavirus deaths surpass SARS as millions stagger back to work $AAPL $WB,neutral,"# text = China's coronavirus deaths surpass SARS as millions stagger back to work $AAPL $WB
1	China	China	PROPN	NNP	_	4	poss	_	_
2	's	's	PART	POS	_	1	case	_	_
3	coronavirus	coronavirus	NOUN	NN	_	4	compound	_	_
4	deaths	death	NOUN	NNS	_	5	nsubj	_	_
5	surpass	surpass	VERB	VBP	_	0	ROOT	_	_
6	SARS	SARS	PROPN	NNP	_	5	dobj	_	_
7	as	as	ADP	IN	_	5	prep	_	_
8	millions	million	NOUN	NNS	_	9	nsubj	_	_
9	stagger	stagger	VERB	VBP	_	7	pobj	_	_
10	back	back	ADV	RB	_	9	advmod	_	_
11	to	to	AUX	IN	_	12	aux	_	_
12	work	work	VERB	VB	_	9	advcl	_	_
13	$	$	SYM	$	_	14	nmod	_	_
14	AAPL	AAPL	PROPN	NNP	_	12	dobj	_	_
15	$	$	SYM	$	_	16	nmod	_	_
16	WB	WB	PROPN	NNP	_	5	npadvmod	_	_"
"@charliekirk11 Coronavirus, Bernie and crew of lack luster Dems are chill makers! I'm getting nauseous thinking of them.",neutral,"# text = @charliekirk11 Coronavirus, Bernie and crew of lack luster Dems are chill makers!
1	@charliekirk11	@charliekirk11	PROPN	NNP	_	2	compound	_	_
2	Coronavirus	Coronavirus	PROPN	NNP	_	11	nsubj	_	_
3	,	,	PUNCT	,	_	2	punct	_	_
4	Bernie	Bernie	PROPN	NNP	_	2	conj	_	_
5	and	and	CCONJ	CC	_	4	cc	_	_
6	crew	crew	NOUN	NN	_	4	conj	_	_
7	of	of	ADP	IN	_	6	prep	_	_
8	lack	lack	NOUN	NN	_	9	compound	_	_
9	luster	luster	NOUN	NN	_	10	compound	_	_
10	Dems	Dems	PROPN	NNPS	_	7	pobj	_	_
11	are	be	AUX	VBP	_	0	ROOT	_	_
12	chill	chill	NOUN	NN	_	13	compound	_	_
13	makers	maker	NOUN	NNS	_	11	attr	_	_
14	!	!	PUNCT	.	_	11	punct	_	_

# text = I'm getting nauseous thinking of them.
1	I	I	PRON	PRP	_	3	nsubj	_	_
2	'm	be	AUX	VBP	_	3	aux	_	_
3	getting	get	VERB	VBG	_	0	ROOT	_	_
4	nauseous	nauseous	ADJ	JJ	_	5	amod	_	_
5	thinking	thinking	NOUN	NN	_	3	dobj	_	_
6	of	of	ADP	IN	_	5	prep	_	_
7	them	they	PRON	PRP	_	6	pobj	_	_
8	.	.	PUNCT	.	_	3	punct	_	_"
Coronavirus: Last or the latest?,neutral,"# text = Coronavirus: Last or the latest?
1	Coronavirus	Coronavirus	PROPN	NNP	_	0	ROOT	_	_
2	:	:	PUNCT	:	_	1	punct	_	_
3	Last	last	ADJ	JJ	_	1	appos	_	_
4	or	or	CCONJ	CC	_	3	cc	_	_
5	the	the	DET	DT	_	6	det	_	_
6	latest	late	ADJ	JJS	_	3	conj	_	_
7	?	?	PUNCT	.	_	1	punct	_	_"
"No, it's a bad day for people with coronavirus who are scared because @realDonaldTrump is unable to lead.",negative,"# text = No, it's a bad day for people with coronavirus who are scared because @realDonaldTrump is unable to lead.
1	No	no	INTJ	UH	_	4	intj	_	_
2	,	,	PUNCT	,	_	4	punct	_	_
3	it	it	PRON	PRP	_	4	nsubj	_	_
4	's	be	AUX	VBZ	_	0	ROOT	_	_
5	a	a	DET	DT	_	7	det	_	_
6	bad	bad	ADJ	JJ	_	7	amod	_	_
7	day	day	NOUN	NN	_	4	attr	_	_
8	for	for	ADP	IN	_	4	prep	_	_
9	people	people	NOUN	NNS	_	8	pobj	_	_
10	with	with	ADP	IN	_	9	prep	_	_
11	coronavirus	coronavirus	NOUN	NN	_	10	pobj	_	_
12	who	who	PRON	WP	_	13	nsubj	_	_
13	are	be	AUX	VBP	_	11	relcl	_	_
14	scared	scared	ADJ	JJ	_	13	acomp	_	_
15	because	because	SCONJ	IN	_	17	mark	_	_
16	@realDonaldTrump	@realdonaldtrump	NOUN	NN	_	17	nsubj	_	_
17	is	be	AUX	VBZ	_	4	advcl	_	_
18	unable	unable	ADJ	JJ	_	17	acomp	_	_
19	to	to	PART	TO	_	20	aux	_	_
20	lead	lead	VERB	VB	_	18	xcomp	_	_
21	.	.	PUNCT	.	_	4	punct	_	_"
"""Coronavirus impeachment scam"" is trending I hate it here",negative,"# text = ""Coronavirus impeachment scam"" is trending I hate it here
1	""	""	PUNCT	``	_	7	punct	_	_
2	Coronavirus	Coronavirus	PROPN	NNP	_	4	compound	_	_
3	impeachment	impeachment	NOUN	NN	_	4	compound	_	_
4	scam	scam	NOUN	NN	_	7	nsubj	_	_
5	""	""	PUNCT	''	_	4	punct	_	_
6	is	be	AUX	VBZ	_	7	aux	_	_
7	trending	trend	VERB	VBG	_	0	ROOT	_	_
8	I	I	PRON	PRP	_	9	nsubj	_	_
9	hate	hate	VERB	VBP	_	7	ccomp	_	_
10	it	it	PRON	PRP	_	9	dobj	_	_
11	here	here	ADV	RB	_	9	advmod	_	_"
@AAA18_YNWA If Coronavirus attacked the brain he'd be fucked for sure,negative,"# text = @AAA18_YNWA If Coronavirus attacked the brain he'd be fucked for sure
1	@AAA18_YNWA	@AAA18_YNWA	PUNCT	``	_	10	advmod	_	_
2	If	if	SCONJ	IN	_	4	mark	_	_
3	Coronavirus	Coronavirus	PROPN	NNP	_	4	nsubj	_	_
4	attacked	attack	VERB	VBD	_	10	advcl	_	_
5	the	the	DET	DT	_	6	det	_	_
6	brain	brain	NOUN	NN	_	4	dobj	_	_
7	he	he	PRON	PRP	_	10	nsubjpass	_	_
8	'd	would	AUX	MD	_	10	aux	_	_
9	be	be	AUX	VB	_	10	auxpass	_	_
10	fucked	fuck	VERB	VBN	_	0	ROOT	_	_
11	for	for	ADP	IN	_	10	prep	_	_
12	sure	sure	ADJ	JJ	_	11	amod	_	_"
"EU issues trade deal ultimatum, as senior Tory hints Brexit talks 'could be delayed' due to coronavirus",negative,"# text = EU issues trade deal ultimatum, as senior Tory hints Brexit talks 'could be delayed' due to coronavirus
1	EU	EU	PROPN	NNP	_	2	compound	_	_
2	issues	issue	NOUN	NNS	_	4	compound	_	_
3	trade	trade	NOUN	NN	_	4	compound	_	_
4	deal	deal	NOUN	NN	_	5	compound	_	_
5	ultimatum	ultimatum	NOUN	NN	_	16	nsubjpass	_	_
6	,	,	PUNCT	,	_	16	punct	_	_
7	as	as	SCONJ	IN	_	12	mark	_	_
8	senior	senior	ADJ	JJ	_	10	amod	_	_
9	Tory	Tory	PROPN	NNP	_	10	compound	_	_
10	hints	hint	NOUN	NNS	_	12	compound	_	_
11	Brexit	Brexit	PROPN	NNP	_	12	compound	_	_
12	talks	talk	NOUN	NNS	_	16	nsubjpass	_	_
13	'	'	PUNCT	``	_	16	punct	_	_
14	could	could	AUX	MD	_	16	aux	_	_
15	be	be	AUX	VB	_	16	auxpass	_	_
16	delayed	delay	VERB	VBN	_	0	ROOT	_	_
17	'	'	PUNCT	''	_	16	punct	_	_
18	due	due	ADJ	JJ	_	16	prep	_	_
19	to	to	ADP	IN	_	18	pcomp	_	_
20	coronavirus	coronavirus	NOUN	NN	_	19	pobj	_	_"
@GOPLeader I think you mean the Trump coronavirus.,negative,"# text = @GOPLeader I think you mean the Trump coronavirus.
1	@GOPLeader	@GOPLeader	PROPN	NNP	_	3	dep	_	_
2	I	I	PRON	PRP	_	3	nsubj	_	_
3	think	think	VERB	VBP	_	0	ROOT	_	_
4	you	you	PRON	PRP	_	5	nsubj	_	_
5	mean	mean	VERB	VBP	_	3	ccomp	_	_
6	the	the	DET	DT	_	8	det	_	_
7	Trump	Trump	PROPN	NNP	_	8	compound	_	_
8	coronavirus	coronavirus	NOUN	NN	_	5	dobj	_	_
9	.	.	PUNCT	.	_	3	punct	_	_"
The latest The Vách ngăn compact Hà Nội Daily! Thanks to @gofundme #coronavirus #vietnam,neutral,"# text = The latest The Vách ngăn compact Hà Nội Daily!
1	The	the	DET	DT	_	9	det	_	_
2	latest	late	ADJ	JJS	_	9	amod	_	_
3	The	the	DET	DT	_	5	det	_	_
4	Vách	Vách	PROPN	NNP	_	5	compound	_	_
5	ngăn	ngăn	NOUN	NN	_	9	nmod	_	_
6	compact	compact	NOUN	NN	_	9	amod	_	_
7	Hà	Hà	PROPN	NNP	_	9	compound	_	_
8	Nội	Nội	PROPN	NNP	_	9	compound	_	_
9	Daily	Daily	PROPN	NNP	_	0	ROOT	_	_
10	!	!	PUNCT	.	_	9	punct	_	_

# text = Thanks to @gofundme #coronavirus #vietnam
1	Thanks	thank	NOUN	NNS	_	0	ROOT	_	_
2	to	to	ADP	IN	_	1	prep	_	_
3	@gofundme	@gofundme	PROPN	NNPS	_	2	pobj	_	_
4	#	#	SYM	$	_	1	prep	_	_
5	coronavirus	coronavirus	PROPN	NNP	_	1	appos	_	_
6	#	#	SYM	$	_	1	prep	_	_
7	vietnam	vietnam	PROPN	NNP	_	1	punct	_	_"
#EMS #bancannedhunting #lionbonetrade #Coronavirus,neutral,"# text = #EMS #bancannedhunting #lionbonetrade #Coronavirus
1	#	#	SYM	$	_	2	nmod	_	_
2	EMS	EMS	PROPN	NNP	_	4	nsubj	_	_
3	#	#	SYM	$	_	4	punct	_	_
4	bancannedhunting	bancannedhunte	VERB	VBG	_	0	ROOT	_	_
5	#	#	SYM	$	_	4	punct	_	_
6	lionbonetrade	lionbonetrade	PROPN	NNP	_	4	dobj	_	_
7	#	#	SYM	$	_	8	nmod	_	_
8	Coronavirus	Coronavirus	PROPN	NNP	_	4	npadvmod	_	_"
