tweet,original_sentiment,conllu_parse
The more you know 🌈 #coronavirusec #coronavirus #washyourhands,positive,"# text = The more you know 🌈 #coronavirusec #coronavirus #washyourhands
1	The	the	PRON	DT	_	2	advmod	_	_
2	more	more	ADV	RBR	_	4	advmod	_	_
3	you	you	PRON	PRP	_	4	nsubj	_	_
4	know	know	VERB	VBP	_	11	parataxis	_	_
5	🌈	🌈	NOUN	NN	_	7	nmod	_	_
6	#	#	SYM	$	_	7	punct	_	_
7	coronavirusec	coronavirusec	NOUN	NN	_	4	dobj	_	_
8	#	#	SYM	$	_	9	compound	_	_
9	coronavirus	coronavirus	PROPN	NNP	_	10	compound	_	_
10	#	#	SYM	$	_	4	dep	_	_
11	washyourhands	washyourhand	NOUN	NNS	_	0	ROOT	_	_"
Tune in to @CNBCWEX around 5:30 a.m. ET: Chris Meekins will be on to discuss the latest updates on the #coronavirus.,positive,"# text = Tune in to @CNBCWEX around 5:30 a.m. ET: Chris Meekins will be on to discuss the latest updates on the #coronavirus.
1	Tune	tune	NOUN	NN	_	13	advcl	_	_
2	in	in	ADP	IN	_	1	advmod	_	_
3	to	to	ADP	IN	_	1	prep	_	_
4	@CNBCWEX	@CNBCWEX	PROPN	NNP	_	3	pobj	_	_
5	around	around	ADP	IN	_	1	prep	_	_
6	5:30	5:30	NUM	CD	_	5	pobj	_	_
7	a.m.	a.m.	NOUN	NN	_	6	advmod	_	_
8	ET	ET	PROPN	NNP	_	1	appos	_	_
9	:	:	PUNCT	:	_	13	punct	_	_
10	Chris	Chris	PROPN	NNP	_	11	compound	_	_
11	Meekins	Meekins	PROPN	NNP	_	13	nsubj	_	_
12	will	will	AUX	MD	_	13	aux	_	_
13	be	be	AUX	VB	_	0	ROOT	_	_
14	on	on	ADP	RP	_	13	prep	_	_
15	to	to	PART	TO	_	16	aux	_	_
16	discuss	discuss	VERB	VB	_	13	xcomp	_	_
17	the	the	DET	DT	_	19	det	_	_
18	latest	late	ADJ	JJS	_	19	amod	_	_
19	updates	update	NOUN	NNS	_	16	dobj	_	_
20	on	on	ADP	IN	_	19	prep	_	_
21	the	the	DET	DT	_	23	det	_	_
22	#	#	SYM	$	_	23	compound	_	_
23	coronavirus	coronavirus	NOUN	NN	_	20	pobj	_	_
24	.	.	PUNCT	.	_	13	punct	_	_"
"China has more cases of coronavirus than it had of SARS, but a vaccine could be on the horizon #Topbuzz",positive,"# text = China has more cases of coronavirus than it had of SARS, but a vaccine could be on the horizon #Topbuzz
1	China	China	PROPN	NNP	_	2	nsubj	_	_
2	has	have	VERB	VBZ	_	0	ROOT	_	_
3	more	more	ADJ	JJR	_	4	amod	_	_
4	cases	case	NOUN	NNS	_	2	dobj	_	_
5	of	of	ADP	IN	_	4	prep	_	_
6	coronavirus	coronavirus	NOUN	NN	_	5	pobj	_	_
7	than	than	SCONJ	IN	_	9	mark	_	_
8	it	it	PRON	PRP	_	9	nsubj	_	_
9	had	have	VERB	VBD	_	2	advcl	_	_
10	of	of	ADP	IN	_	9	prep	_	_
11	SARS	SARS	PROPN	NNP	_	10	pobj	_	_
12	,	,	PUNCT	,	_	2	punct	_	_
13	but	but	CCONJ	CC	_	2	cc	_	_
14	a	a	DET	DT	_	15	det	_	_
15	vaccine	vaccine	NOUN	NN	_	17	nsubj	_	_
16	could	could	AUX	MD	_	17	aux	_	_
17	be	be	AUX	VB	_	2	conj	_	_
18	on	on	ADP	IN	_	17	prep	_	_
19	the	the	DET	DT	_	20	det	_	_
20	horizon	horizon	NOUN	NN	_	18	pobj	_	_
21	#	#	SYM	$	_	17	punct	_	_
22	Topbuzz	Topbuzz	PROPN	NNP	_	17	attr	_	_"
More than 60 people aboard #Japanesecruiseship diagnosed with #coronavirus 😭,positive,"# text = More than 60 people aboard #Japanesecruiseship diagnosed with #coronavirus 😭
1	More	More	ADJ	JJR	_	3	amod	_	_
2	than	than	ADP	IN	_	3	quantmod	_	_
3	60	60	NUM	CD	_	4	nummod	_	_
4	people	people	NOUN	NNS	_	8	nsubj	_	_
5	aboard	aboard	ADP	IN	_	4	prep	_	_
6	#	#	SYM	$	_	7	nmod	_	_
7	Japanesecruiseship	Japanesecruiseship	PROPN	NNP	_	5	pobj	_	_
8	diagnosed	diagnose	VERB	VBD	_	0	ROOT	_	_
9	with	with	ADP	IN	_	8	prep	_	_
10	#	#	SYM	$	_	9	punct	_	_
11	coronavirus	coronavirus	NOUN	NN	_	12	compound	_	_
12	😭	😭	NOUN	NN	_	9	pobj	_	_"
Lithuania will not evacuate its nationals from China due to coronavirus,negative,"# text = Lithuania will not evacuate its nationals from China due to coronavirus
1	Lithuania	Lithuania	PROPN	NNP	_	4	nsubj	_	_
2	will	will	AUX	MD	_	4	aux	_	_
3	not	not	PART	RB	_	4	neg	_	_
4	evacuate	evacuate	VERB	VB	_	0	ROOT	_	_
5	its	its	PRON	PRP$	_	6	poss	_	_
6	nationals	national	NOUN	NNS	_	4	dobj	_	_
7	from	from	ADP	IN	_	6	prep	_	_
8	China	China	PROPN	NNP	_	7	pobj	_	_
9	due	due	ADP	IN	_	4	prep	_	_
10	to	to	ADP	IN	_	9	pcomp	_	_
11	coronavirus	coronavirus	NOUN	NN	_	10	pobj	_	_"
So I guess no ones taking this coronavirus seriously?,negative,"# text = So I guess no ones taking this coronavirus seriously?
1	So	so	ADV	RB	_	3	advmod	_	_
2	I	I	PRON	PRP	_	3	nsubj	_	_
3	guess	guess	VERB	VBP	_	0	ROOT	_	_
4	no	no	DET	DT	_	5	det	_	_
5	ones	one	NOUN	NNS	_	3	dobj	_	_
6	taking	take	VERB	VBG	_	5	acl	_	_
7	this	this	DET	DT	_	8	det	_	_
8	coronavirus	coronavirus	NOUN	NN	_	6	dobj	_	_
9	seriously	seriously	ADV	RB	_	6	advmod	_	_
10	?	?	PUNCT	.	_	3	punct	_	_"
"@DavidB45212563 Yeah but you aren't at risk of having Coronavirus, so you win! 🤣",positive,"# text = @DavidB45212563
1	@DavidB45212563	@davidb45212563	NOUN	NN	_	0	ROOT	_	_

# text = Yeah but you aren't at risk of having Coronavirus, so you win!
1	Yeah	yeah	INTJ	UH	_	4	intj	_	_
2	but	but	CCONJ	CC	_	4	cc	_	_
3	you	you	PRON	PRP	_	4	nsubj	_	_
4	are	be	AUX	VBP	_	14	ccomp	_	_
5	n't	not	PART	RB	_	4	neg	_	_
6	at	at	ADP	IN	_	4	prep	_	_
7	risk	risk	NOUN	NN	_	6	pobj	_	_
8	of	of	ADP	IN	_	7	prep	_	_
9	having	have	VERB	VBG	_	8	pcomp	_	_
10	Coronavirus	Coronavirus	PROPN	NNP	_	9	dobj	_	_
11	,	,	PUNCT	,	_	14	punct	_	_
12	so	so	ADV	RB	_	14	advmod	_	_
13	you	you	PRON	PRP	_	14	nsubj	_	_
14	win	win	VERB	VBP	_	0	ROOT	_	_
15	!	!	PUNCT	.	_	14	punct	_	_

# text = 🤣
1	🤣	🤣	NOUN	NN	_	0	ROOT	_	_"
"#NEW: Yichang, #China has been upgraded from a partial lockdown to a full one. #coronavirus",neutral,"# text = #NEW: Yichang, #China has been upgraded from a partial lockdown to a full one.
1	#	#	SYM	$	_	4	punct	_	_
2	NEW	NEW	PROPN	NNP	_	4	amod	_	_
3	:	:	PUNCT	:	_	4	punct	_	_
4	Yichang	Yichang	PROPN	NNP	_	10	nsubjpass	_	_
5	,	,	PUNCT	,	_	4	punct	_	_
6	#	#	PROPN	NNP	_	7	nmod	_	_
7	China	China	PROPN	NNP	_	10	nsubjpass	_	_
8	has	have	AUX	VBZ	_	10	aux	_	_
9	been	be	AUX	VBN	_	10	auxpass	_	_
10	upgraded	upgrade	VERB	VBN	_	0	ROOT	_	_
11	from	from	ADP	IN	_	10	prep	_	_
12	a	a	DET	DT	_	14	det	_	_
13	partial	partial	ADJ	JJ	_	14	amod	_	_
14	lockdown	lockdown	NOUN	NN	_	11	pobj	_	_
15	to	to	ADP	IN	_	10	prep	_	_
16	a	a	DET	DT	_	18	det	_	_
17	full	full	ADJ	JJ	_	18	amod	_	_
18	one	one	NUM	CD	_	15	pobj	_	_
19	.	.	PUNCT	.	_	10	punct	_	_

# text = #coronavirus
1	#	#	SYM	$	_	2	punct	_	_
2	coronavirus	coronavirus	NOUN	NN	_	0	ROOT	_	_"
Can't wait until Lad twitter's boys with buzzcuts start making jokes about how they've had the Corona Virus like ok u proud of that one?,positive,"# text = Can't wait until Lad twitter's boys with buzzcuts start making jokes about how they've had the Corona Virus like ok u proud of that one?
1	Ca	can	AUX	MD	_	3	aux	_	_
2	n't	not	PART	RB	_	3	neg	_	_
3	wait	wait	VERB	VB	_	0	ROOT	_	_
4	until	until	SCONJ	IN	_	11	mark	_	_
5	Lad	Lad	PROPN	NNP	_	6	compound	_	_
6	twitter	twitter	NOUN	NN	_	8	poss	_	_
7	's	's	PART	POS	_	6	case	_	_
8	boys	boy	NOUN	NNS	_	11	nsubj	_	_
9	with	with	ADP	IN	_	8	prep	_	_
10	buzzcuts	buzzcut	NOUN	NNS	_	9	pobj	_	_
11	start	start	VERB	VBP	_	3	advcl	_	_
12	making	make	VERB	VBG	_	11	xcomp	_	_
13	jokes	joke	NOUN	NNS	_	12	dobj	_	_
14	about	about	ADP	IN	_	13	prep	_	_
15	how	how	SCONJ	WRB	_	18	advmod	_	_
16	they	they	PRON	PRP	_	18	nsubj	_	_
17	've	have	AUX	VBP	_	18	aux	_	_
18	had	have	AUX	VBN	_	14	pcomp	_	_
19	the	the	DET	DT	_	21	det	_	_
20	Corona	Corona	PROPN	NNP	_	21	compound	_	_
21	Virus	Virus	PROPN	NNP	_	18	dobj	_	_
22	like	like	INTJ	UH	_	3	prep	_	_
23	ok	ok	INTJ	UH	_	22	intj	_	_
24	u	u	PROPN	NNP	_	22	pobj	_	_
25	proud	proud	ADJ	JJ	_	3	advmod	_	_
26	of	of	ADP	IN	_	25	prep	_	_
27	that	that	DET	DT	_	28	det	_	_
28	one	one	NUM	CD	_	26	pobj	_	_
29	?	?	PUNCT	.	_	3	punct	_	_"
"#China's Huanggang suspends public transport, closes indoor venues over #coronavirus",neutral,"# text = #China's Huanggang suspends public transport, closes indoor venues over #coronavirus
1	#	#	SYM	$	_	5	dep	_	_
2	China	China	PROPN	NNP	_	4	poss	_	_
3	's	's	PART	POS	_	2	case	_	_
4	Huanggang	Huanggang	PROPN	NNP	_	5	nsubj	_	_
5	suspends	suspend	VERB	VBZ	_	0	ROOT	_	_
6	public	public	ADJ	JJ	_	7	amod	_	_
7	transport	transport	NOUN	NN	_	5	dobj	_	_
8	,	,	PUNCT	,	_	5	punct	_	_
9	closes	close	VERB	VBZ	_	5	conj	_	_
10	indoor	indoor	ADJ	JJ	_	11	amod	_	_
11	venues	venue	NOUN	NNS	_	9	dobj	_	_
12	over	over	ADP	IN	_	9	prep	_	_
13	#	#	SYM	$	_	12	punct	_	_
14	coronavirus	coronavirus	NOUN	NN	_	12	pobj	_	_"
