tweet,original_sentiment,conllu_parse
Finally — a clear and coherent explanation of the coronavirus.,neutral,"# text = Finally — a clear and coherent explanation of the coronavirus.
1	Finally	finally	ADV	RB	_	7	advmod	_	_
2	—	—	PUNCT	:	_	7	punct	_	_
3	a	a	DET	DT	_	7	det	_	_
4	clear	clear	ADJ	JJ	_	7	amod	_	_
5	and	and	CCONJ	CC	_	4	cc	_	_
6	coherent	coherent	ADJ	JJ	_	4	conj	_	_
7	explanation	explanation	NOUN	NN	_	0	ROOT	_	_
8	of	of	ADP	IN	_	7	prep	_	_
9	the	the	DET	DT	_	10	det	_	_
10	coronavirus	coronavirus	NOUN	NN	_	8	pobj	_	_
11	.	.	PUNCT	.	_	7	punct	_	_"
Coronavirus Interactive map & data tracking created by John's Hopkins University,neutral,"# text = Coronavirus Interactive map & data tracking created by John's Hopkins University
1	Coronavirus	Coronavirus	PROPN	NNP	_	2	compound	_	_
2	Interactive	Interactive	PROPN	NNP	_	3	compound	_	_
3	map	map	NOUN	NN	_	6	nmod	_	_
4	&	&	CCONJ	CC	_	3	cc	_	_
5	data	datum	NOUN	NNS	_	3	conj	_	_
6	tracking	tracking	NOUN	NN	_	0	ROOT	_	_
7	created	create	VERB	VBN	_	6	acl	_	_
8	by	by	ADP	IN	_	7	agent	_	_
9	John	John	PROPN	NNP	_	12	poss	_	_
10	's	's	PART	POS	_	9	case	_	_
11	Hopkins	Hopkins	PROPN	NNP	_	12	compound	_	_
12	University	University	PROPN	NNP	_	8	pobj	_	_"
100-year-old man recovers from coronavirus in China's Wuhan | World News – India TV wow,neutral,"# text = 100-year-old man recovers from coronavirus in China's Wuhan | World News – India TV wow
1	100	100	NUM	CD	_	3	nummod	_	_
2	-	-	PUNCT	HYPH	_	3	punct	_	_
3	year	year	NOUN	NN	_	5	npadvmod	_	_
4	-	-	PUNCT	HYPH	_	5	punct	_	_
5	old	old	ADJ	JJ	_	6	amod	_	_
6	man	man	NOUN	NN	_	7	nsubj	_	_
7	recovers	recover	VERB	VBZ	_	0	ROOT	_	_
8	from	from	ADP	IN	_	7	prep	_	_
9	coronavirus	coronavirus	NOUN	NN	_	8	pobj	_	_
10	in	in	ADP	IN	_	7	prep	_	_
11	China	China	PROPN	NNP	_	13	poss	_	_
12	's	's	PART	POS	_	11	case	_	_
13	Wuhan	Wuhan	PROPN	NNP	_	10	pobj	_	_
14	|	|	NOUN	NN	_	16	compound	_	_
15	World	World	PROPN	NNP	_	16	compound	_	_
16	News	News	PROPN	NNP	_	7	dobj	_	_
17	–	–	PUNCT	:	_	16	punct	_	_
18	India	India	PROPN	NNP	_	19	compound	_	_
19	TV	tv	NOUN	NN	_	16	appos	_	_
20	wow	wow	INTJ	UH	_	7	punct	_	_"
I was like this before the #coronavirus,neutral,"# text = I was like this before the #coronavirus
1	I	I	PRON	PRP	_	2	nsubj	_	_
2	was	be	AUX	VBD	_	0	ROOT	_	_
3	like	like	ADP	IN	_	2	prep	_	_
4	this	this	PRON	DT	_	3	pobj	_	_
5	before	before	ADP	IN	_	2	prep	_	_
6	the	the	DET	DT	_	7	det	_	_
7	#	#	SYM	$	_	5	pobj	_	_
8	coronavirus	coronavirus	NOUN	NN	_	5	pobj	_	_"
North Korea getting rid of the corona virus victims by kicking out every and every one that has the corona virus,neutral,"# text = North Korea getting rid of the corona virus victims by kicking out every and every one that has the corona virus
1	North	North	PROPN	NNP	_	2	compound	_	_
2	Korea	Korea	PROPN	NNP	_	4	nsubj	_	_
3	getting	getting	AUX	VBG	_	4	auxpass	_	_
4	rid	rid	VERB	VBN	_	0	ROOT	_	_
5	of	of	ADP	IN	_	4	prep	_	_
6	the	the	DET	DT	_	9	det	_	_
7	corona	corona	PROPN	NNP	_	8	compound	_	_
8	virus	virus	NOUN	NN	_	9	compound	_	_
9	victims	victim	NOUN	NNS	_	5	pobj	_	_
10	by	by	ADP	IN	_	4	prep	_	_
11	kicking	kick	VERB	VBG	_	10	pcomp	_	_
12	out	out	ADP	RP	_	11	prt	_	_
13	every	every	PRON	DT	_	11	dobj	_	_
14	and	and	CCONJ	CC	_	13	cc	_	_
15	every	every	DET	DT	_	16	det	_	_
16	one	one	NOUN	NN	_	13	conj	_	_
17	that	that	PRON	WDT	_	18	nsubj	_	_
18	has	have	VERB	VBZ	_	16	relcl	_	_
19	the	the	DET	DT	_	21	det	_	_
20	corona	corona	PROPN	NNP	_	21	compound	_	_
21	virus	virus	NOUN	NN	_	18	dobj	_	_"
Italy to close off large part of the country over coronavirus fears via @MotherJones,neutral,"# text = Italy to close off large part of the country over coronavirus fears via @MotherJones
1	Italy	Italy	PROPN	NNP	_	3	nsubj	_	_
2	to	to	PART	TO	_	3	aux	_	_
3	close	close	VERB	VB	_	0	ROOT	_	_
4	off	off	ADP	RP	_	3	prt	_	_
5	large	large	ADJ	JJ	_	6	amod	_	_
6	part	part	NOUN	NN	_	3	dobj	_	_
7	of	of	ADP	IN	_	6	prep	_	_
8	the	the	DET	DT	_	9	det	_	_
9	country	country	NOUN	NN	_	7	pobj	_	_
10	over	over	ADP	IN	_	3	prep	_	_
11	coronavirus	coronavirus	NOUN	NN	_	12	compound	_	_
12	fears	fear	NOUN	NNS	_	10	pobj	_	_
13	via	via	ADP	IN	_	3	prep	_	_
14	@MotherJones	@motherjone	NOUN	NNS	_	13	pobj	_	_"
Coronavirus can be present in a room of 20 people what makes you think it won't be present in an arena,neutral,"# text = Coronavirus can be present in a room of 20 people what makes you think it won't be present in an arena
1	Coronavirus	Coronavirus	PROPN	NNP	_	3	nsubj	_	_
2	can	can	AUX	MD	_	3	aux	_	_
3	be	be	AUX	VB	_	0	ROOT	_	_
4	present	present	ADJ	JJ	_	3	acomp	_	_
5	in	in	ADP	IN	_	3	prep	_	_
6	a	a	DET	DT	_	7	det	_	_
7	room	room	NOUN	NN	_	5	pobj	_	_
8	of	of	ADP	IN	_	7	prep	_	_
9	20	20	NUM	CD	_	10	nummod	_	_
10	people	people	NOUN	NNS	_	8	pobj	_	_
11	what	what	PRON	WP	_	12	nsubj	_	_
12	makes	make	VERB	VBZ	_	7	relcl	_	_
13	you	you	PRON	PRP	_	14	nsubj	_	_
14	think	think	VERB	VB	_	12	ccomp	_	_
15	it	it	PRON	PRP	_	18	nsubj	_	_
16	wo	will	AUX	MD	_	18	aux	_	_
17	n't	not	PART	RB	_	18	neg	_	_
18	be	be	AUX	VB	_	14	ccomp	_	_
19	present	present	ADJ	JJ	_	18	acomp	_	_
20	in	in	ADP	IN	_	19	prep	_	_
21	an	an	DET	DT	_	22	det	_	_
22	arena	arena	NOUN	NN	_	20	pobj	_	_"
Obama-appointed doctor made the call to bring 14 coronavirus-infected Americans back from Japan,neutral,"# text = Obama-appointed doctor made the call to bring 14 coronavirus-infected Americans back from Japan
1	Obama	Obama	PROPN	NNP	_	3	npadvmod	_	_
2	-	-	PUNCT	HYPH	_	3	punct	_	_
3	appointed	appoint	VERB	VBN	_	4	amod	_	_
4	doctor	doctor	NOUN	NN	_	5	nsubj	_	_
5	made	make	VERB	VBD	_	0	ROOT	_	_
6	the	the	DET	DT	_	7	det	_	_
7	call	call	NOUN	NN	_	9	nsubj	_	_
8	to	to	PART	TO	_	9	aux	_	_
9	bring	bring	VERB	VB	_	5	ccomp	_	_
10	14	14	NUM	CD	_	14	nummod	_	_
11	coronavirus	coronavirus	NOUN	NN	_	13	npadvmod	_	_
12	-	-	PUNCT	HYPH	_	13	punct	_	_
13	infected	infect	VERB	VBN	_	14	amod	_	_
14	Americans	Americans	PROPN	NNPS	_	9	dobj	_	_
15	back	back	ADV	RB	_	9	advmod	_	_
16	from	from	ADP	IN	_	15	prep	_	_
17	Japan	Japan	PROPN	NNP	_	16	pobj	_	_"
@LexiLore @AmericanAir Corona virus,neutral,"# text = @LexiLore @AmericanAir Corona virus
1	@LexiLore	@lexilore	ADP	IN	_	4	prep	_	_
2	@AmericanAir	@americanair	NOUN	NN	_	1	pobj	_	_
3	Corona	Corona	PROPN	NNP	_	4	compound	_	_
4	virus	virus	NOUN	NN	_	0	ROOT	_	_"
The latest Film Awards! Thanks to @bellaella7 @davidmeynard1 #coronavirus,neutral,"# text = The latest Film Awards!
1	The	the	DET	DT	_	4	det	_	_
2	latest	late	ADJ	JJS	_	4	amod	_	_
3	Film	Film	PROPN	NNP	_	4	compound	_	_
4	Awards	Awards	PROPN	NNP	_	0	ROOT	_	_
5	!	!	PUNCT	.	_	4	punct	_	_

# text = Thanks to @bellaella7 @davidmeynard1 #coronavirus
1	Thanks	thank	NOUN	NNS	_	0	ROOT	_	_
2	to	to	ADP	IN	_	1	prep	_	_
3	@bellaella7	@bellaella7	NUM	CD	_	2	pobj	_	_
4	@davidmeynard1	@davidmeynard1	ADP	IN	_	1	prep	_	_
5	#	#	SYM	$	_	6	punct	_	_
6	coronavirus	coronavirus	NOUN	NN	_	1	conj	_	_"
