tweet,original_sentiment,conllu_parse
The latest The MNL Photo Daily! Thanks to @naokiness @dguttenfelder @dawn_itfc #photography #coronavirus,neutral,"# text = The latest The MNL Photo Daily!
1	The	the	DET	DT	_	2	det	_	_
2	latest	late	ADJ	JJS	_	6	amod	_	_
3	The	the	DET	DT	_	6	det	_	_
4	MNL	MNL	PROPN	NNP	_	6	compound	_	_
5	Photo	Photo	PROPN	NNP	_	6	compound	_	_
6	Daily	Daily	PROPN	NNP	_	0	ROOT	_	_
7	!	!	PUNCT	.	_	6	punct	_	_

# text = Thanks to @naokiness @dguttenfelder @dawn_itfc #photography #coronavirus
1	Thanks	thank	NOUN	NNS	_	4	nsubj	_	_
2	to	to	ADP	IN	_	1	prep	_	_
3	@naokiness	@naokiness	PROPN	NNP	_	2	pobj	_	_
4	@dguttenfelder	@dguttenfelder	NOUN	NN	_	0	ROOT	_	_
5	@dawn_itfc	@dawn_itfc	NUM	CD	_	7	nummod	_	_
6	#	#	SYM	$	_	7	nmod	_	_
7	photography	photography	NOUN	NN	_	4	punct	_	_
8	#	#	PROPN	NNP	_	9	compound	_	_
9	coronavirus	coronavirus	NOUN	NN	_	7	appos	_	_"
"OPEC, Russia could meet to discuss emergency cuts as coronavirus crushes oil price via CNBC #news #CNBC",neutral,"# text = OPEC, Russia could meet to discuss emergency cuts as coronavirus crushes oil price via CNBC #news #CNBC
1	OPEC	OPEC	PROPN	NNP	_	5	npadvmod	_	_
2	,	,	PUNCT	,	_	5	punct	_	_
3	Russia	Russia	PROPN	NNP	_	5	nsubj	_	_
4	could	could	AUX	MD	_	5	aux	_	_
5	meet	meet	VERB	VB	_	0	ROOT	_	_
6	to	to	PART	TO	_	7	aux	_	_
7	discuss	discuss	VERB	VB	_	5	advcl	_	_
8	emergency	emergency	NOUN	NN	_	9	compound	_	_
9	cuts	cut	NOUN	NNS	_	7	dobj	_	_
10	as	as	ADP	IN	_	7	prep	_	_
11	coronavirus	coronavirus	NOUN	NN	_	12	compound	_	_
12	crushes	crush	NOUN	NNS	_	14	compound	_	_
13	oil	oil	NOUN	NN	_	14	compound	_	_
14	price	price	NOUN	NN	_	10	pobj	_	_
15	via	via	ADP	IN	_	7	prep	_	_
16	CNBC	CNBC	PROPN	NNP	_	15	pobj	_	_
17	#	#	SYM	$	_	18	punct	_	_
18	news	news	NOUN	NN	_	15	pobj	_	_
19	#	#	SYM	$	_	20	nmod	_	_
20	CNBC	CNBC	PROPN	NNP	_	7	dobj	_	_"
#coronavirus It's been here .... #RIP,neutral,"# text = #coronavirus
1	#	#	SYM	$	_	0	ROOT	_	_
2	coronavirus	coronavirus	PROPN	NNP	_	1	punct	_	_

# text = It's been here ....
1	It	it	PRON	PRP	_	3	nsubjpass	_	_
2	's	be	AUX	VBZ	_	3	auxpass	_	_
3	been	be	AUX	VBN	_	0	ROOT	_	_
4	here	here	ADV	RB	_	3	advmod	_	_
5	....	....	PUNCT	.	_	3	punct	_	_

# text = #RIP
1	#	#	SYM	$	_	2	punct	_	_
2	RIP	rip	NOUN	NN	_	0	ROOT	_	_"
Pope Francis tested for coronavirus after falling ill,negative,"# text = Pope Francis tested for coronavirus after falling ill
1	Pope	Pope	PROPN	NNP	_	2	compound	_	_
2	Francis	Francis	PROPN	NNP	_	3	nsubj	_	_
3	tested	test	VERB	VBD	_	0	ROOT	_	_
4	for	for	ADP	IN	_	3	prep	_	_
5	coronavirus	coronavirus	NOUN	NN	_	4	pobj	_	_
6	after	after	ADP	IN	_	3	prep	_	_
7	falling	fall	VERB	VBG	_	6	pcomp	_	_
8	ill	ill	ADV	RB	_	7	advmod	_	_"
@startupdaemon Does this mean coronavirus deaths are reported as pneumonia or unknown organ failure?,negative,"# text = @startupdaemon Does this mean coronavirus deaths are reported as pneumonia or unknown organ failure?
1	@startupdaemon	@startupdaemon	PROPN	NNP	_	4	nsubj	_	_
2	Does	do	AUX	VBZ	_	4	aux	_	_
3	this	this	PRON	DT	_	4	nsubj	_	_
4	mean	mean	VERB	VB	_	6	amod	_	_
5	coronavirus	coronavirus	NOUN	NN	_	6	compound	_	_
6	deaths	death	NOUN	NNS	_	8	nsubjpass	_	_
7	are	be	AUX	VBP	_	8	auxpass	_	_
8	reported	report	VERB	VBN	_	0	ROOT	_	_
9	as	as	ADP	IN	_	8	prep	_	_
10	pneumonia	pneumonia	NOUN	NN	_	9	pobj	_	_
11	or	or	CCONJ	CC	_	10	cc	_	_
12	unknown	unknown	ADJ	JJ	_	14	amod	_	_
13	organ	organ	NOUN	NN	_	14	compound	_	_
14	failure	failure	NOUN	NN	_	10	conj	_	_
15	?	?	PUNCT	.	_	8	punct	_	_"
"On @10NewsFirstAdl another coronavirus case in SA, the toilet paper buying frenzy and the sick attempt to poison two dogs in their backyard.",negative,"# text = On @10NewsFirstAdl another coronavirus case in SA, the toilet paper buying frenzy and the sick attempt to poison two dogs in their backyard.
1	On	on	ADP	IN	_	5	prep	_	_
2	@10NewsFirstAdl	@10NewsFirstAdl	PROPN	NNP	_	1	pobj	_	_
3	another	another	DET	DT	_	5	det	_	_
4	coronavirus	coronavirus	NOUN	NN	_	5	compound	_	_
5	case	case	NOUN	NN	_	0	ROOT	_	_
6	in	in	ADP	IN	_	5	prep	_	_
7	SA	SA	PROPN	NNP	_	6	pobj	_	_
8	,	,	PUNCT	,	_	7	punct	_	_
9	the	the	DET	DT	_	13	det	_	_
10	toilet	toilet	NOUN	NN	_	11	compound	_	_
11	paper	paper	NOUN	NN	_	12	compound	_	_
12	buying	buying	NOUN	NN	_	13	compound	_	_
13	frenzy	frenzy	NOUN	NN	_	7	appos	_	_
14	and	and	CCONJ	CC	_	13	cc	_	_
15	the	the	DET	DT	_	17	det	_	_
16	sick	sick	ADJ	JJ	_	17	amod	_	_
17	attempt	attempt	NOUN	NN	_	13	conj	_	_
18	to	to	PART	TO	_	19	aux	_	_
19	poison	poison	VERB	VB	_	17	acl	_	_
20	two	two	NUM	CD	_	21	nummod	_	_
21	dogs	dog	NOUN	NNS	_	19	dobj	_	_
22	in	in	ADP	IN	_	19	prep	_	_
23	their	their	PRON	PRP$	_	24	poss	_	_
24	backyard	backyard	NOUN	NN	_	22	pobj	_	_
25	.	.	PUNCT	.	_	5	punct	_	_"
"Hand sanitizer, pain meds harder to find amid coronavirus outbreak",negative,"# text = Hand sanitizer, pain meds harder to find amid coronavirus outbreak
1	Hand	Hand	PROPN	NNP	_	2	compound	_	_
2	sanitizer	sanitizer	NOUN	NN	_	0	ROOT	_	_
3	,	,	PUNCT	,	_	2	punct	_	_
4	pain	pain	NOUN	NN	_	5	compound	_	_
5	meds	med	NOUN	NNS	_	2	appos	_	_
6	harder	hard	ADV	RBR	_	2	advmod	_	_
7	to	to	PART	TO	_	8	aux	_	_
8	find	find	VERB	VB	_	6	xcomp	_	_
9	amid	amid	ADP	IN	_	8	prep	_	_
10	coronavirus	coronavirus	NOUN	NN	_	11	compound	_	_
11	outbreak	outbreak	NOUN	NN	_	9	pobj	_	_"
Nike temporarily closes European headquarters due to coronavirus case - report | NASDAQ,negative,"# text = Nike temporarily closes European headquarters due to coronavirus case - report | NASDAQ
1	Nike	Nike	PROPN	NNP	_	3	nsubj	_	_
2	temporarily	temporarily	ADV	RB	_	3	advmod	_	_
3	closes	close	VERB	VBZ	_	0	ROOT	_	_
4	European	european	ADJ	JJ	_	5	amod	_	_
5	headquarters	headquarter	NOUN	NNS	_	3	dobj	_	_
6	due	due	ADP	IN	_	3	prep	_	_
7	to	to	ADP	IN	_	6	pcomp	_	_
8	coronavirus	coronavirus	NOUN	NN	_	11	compound	_	_
9	case	case	NOUN	NN	_	11	compound	_	_
10	-	-	PUNCT	HYPH	_	11	punct	_	_
11	report	report	NOUN	NN	_	13	compound	_	_
12	|	|	PROPN	NNP	_	13	compound	_	_
13	NASDAQ	NASDAQ	PROPN	NNP	_	5	appos	_	_"
@SCMPNews @RT_com any new info on the 2 #Coronavirus cases in Russia?,neutral,"# text = @SCMPNews
1	@SCMPNews	@scmpnews	NUM	CD	_	0	ROOT	_	_

# text = @RT_com any new info on the 2 #Coronavirus cases in Russia?
1	@RT_com	@rt_com	X	ADD	_	0	ROOT	_	_
2	any	any	DET	DT	_	4	det	_	_
3	new	new	ADJ	JJ	_	4	amod	_	_
4	info	info	NOUN	NN	_	1	appos	_	_
5	on	on	ADP	IN	_	4	prep	_	_
6	the	the	DET	DT	_	10	det	_	_
7	2	2	NUM	CD	_	10	nummod	_	_
8	#	#	SYM	$	_	10	compound	_	_
9	Coronavirus	Coronavirus	PROPN	NNP	_	10	compound	_	_
10	cases	case	NOUN	NNS	_	5	pobj	_	_
11	in	in	ADP	IN	_	10	prep	_	_
12	Russia	Russia	PROPN	NNP	_	11	pobj	_	_
13	?	?	PUNCT	.	_	1	punct	_	_"
Situation in the UK. #coronavirus,neutral,"# text = Situation in the UK.
1	Situation	situation	NOUN	NN	_	0	ROOT	_	_
2	in	in	ADP	IN	_	1	prep	_	_
3	the	the	DET	DT	_	4	det	_	_
4	UK	UK	PROPN	NNP	_	2	pobj	_	_
5	.	.	PUNCT	.	_	1	punct	_	_

# text = #coronavirus
1	#	#	SYM	$	_	2	punct	_	_
2	coronavirus	coronavirus	NOUN	NN	_	0	ROOT	_	_"
