tweet,original_sentiment,conllu_parse
The latest Günter Koch's Daily Inspiration! Thanks to @DeepSpace41 @ericducarme @Luke1732Mullen #coronavirus #china,neutral,"# text = The latest Günter Koch's Daily Inspiration!
1	The	the	DET	DT	_	7	det	_	_
2	latest	late	ADJ	JJS	_	7	amod	_	_
3	Günter	Günter	PROPN	NNP	_	4	compound	_	_
4	Koch	Koch	PROPN	NNP	_	7	poss	_	_
5	's	's	PART	POS	_	4	case	_	_
6	Daily	Daily	PROPN	NNP	_	7	compound	_	_
7	Inspiration	Inspiration	PROPN	NNP	_	0	ROOT	_	_
8	!	!	PUNCT	.	_	7	punct	_	_

# text = Thanks to @DeepSpace41 @ericducarme @Luke1732Mullen #coronavirus #china
1	Thanks	thank	NOUN	NNS	_	0	ROOT	_	_
2	to	to	ADP	IN	_	1	prep	_	_
3	@DeepSpace41	@deepspace41	VERB	VB	_	4	nmod	_	_
4	@ericducarme	@ericducarme	PROPN	NNPS	_	5	nmod	_	_
5	@Luke1732Mullen	@luke1732mullen	NUM	CD	_	2	pobj	_	_
6	#	#	SYM	$	_	7	punct	_	_
7	coronavirus	coronavirus	NOUN	NN	_	2	pobj	_	_
8	#	#	SYM	$	_	7	punct	_	_
9	china	china	PROPN	NNP	_	2	pobj	_	_"
"Hundreds in Bay Area self-isolating, watching for coronavirus symptoms #coronarovirus",neutral,"# text = Hundreds in Bay Area self-isolating, watching for coronavirus symptoms #coronarovirus
1	Hundreds	hundred	NOUN	NNS	_	7	nsubj	_	_
2	in	in	ADP	IN	_	1	prep	_	_
3	Bay	Bay	PROPN	NNP	_	4	compound	_	_
4	Area	Area	PROPN	NNP	_	7	compound	_	_
5	self	self	NOUN	NN	_	7	npadvmod	_	_
6	-	-	PUNCT	HYPH	_	7	punct	_	_
7	isolating	isolating	NOUN	NN	_	0	ROOT	_	_
8	,	,	PUNCT	,	_	7	punct	_	_
9	watching	watch	VERB	VBG	_	7	advcl	_	_
10	for	for	ADP	IN	_	9	prep	_	_
11	coronavirus	coronavirus	NOUN	NN	_	12	compound	_	_
12	symptoms	symptom	NOUN	NNS	_	10	pobj	_	_
13	#	#	SYM	$	_	9	dep	_	_
14	coronarovirus	coronarovirus	NOUN	NN	_	7	punct	_	_"
@RiReOPack @YouTube Protect against Corona virus!,neutral,"# text = @RiReOPack @YouTube Protect against Corona virus!
1	@RiReOPack	@rireopack	NOUN	NN	_	3	compound	_	_
2	@YouTube	@YouTube	PROPN	NNP	_	3	compound	_	_
3	Protect	Protect	PROPN	NNP	_	0	ROOT	_	_
4	against	against	ADP	IN	_	3	prep	_	_
5	Corona	Corona	PROPN	NNP	_	6	compound	_	_
6	virus	virus	NOUN	NN	_	4	pobj	_	_
7	!	!	PUNCT	.	_	3	punct	_	_"
"It's time we consider closing our land, sea and air borders! This Corona Virus is scary",neutral,"# text = It's time we consider closing our land, sea and air borders!
1	It	it	PRON	PRP	_	2	nsubj	_	_
2	's	be	AUX	VBZ	_	0	ROOT	_	_
3	time	time	NOUN	NN	_	2	attr	_	_
4	we	we	PRON	PRP	_	5	nsubj	_	_
5	consider	consider	VERB	VBP	_	3	relcl	_	_
6	closing	close	VERB	VBG	_	5	xcomp	_	_
7	our	our	PRON	PRP$	_	13	poss	_	_
8	land	land	NOUN	NN	_	13	nmod	_	_
9	,	,	PUNCT	,	_	8	punct	_	_
10	sea	sea	NOUN	NN	_	8	conj	_	_
11	and	and	CCONJ	CC	_	10	cc	_	_
12	air	air	NOUN	NN	_	10	conj	_	_
13	borders	border	NOUN	NNS	_	6	dobj	_	_
14	!	!	PUNCT	.	_	2	punct	_	_

# text = This Corona Virus is scary
1	This	this	DET	DT	_	3	det	_	_
2	Corona	Corona	PROPN	NNP	_	3	compound	_	_
3	Virus	Virus	PROPN	NNP	_	4	nsubj	_	_
4	is	be	AUX	VBZ	_	0	ROOT	_	_
5	scary	scary	ADJ	JJ	_	4	acomp	_	_"
"Large parts of China relax coronavirus curbs, many places report zero new cases",neutral,"# text = Large parts of China relax coronavirus curbs, many places report zero new cases
1	Large	large	ADJ	JJ	_	2	amod	_	_
2	parts	part	NOUN	NNS	_	5	nsubj	_	_
3	of	of	ADP	IN	_	2	prep	_	_
4	China	China	PROPN	NNP	_	3	pobj	_	_
5	relax	relax	VERB	VBP	_	11	ccomp	_	_
6	coronavirus	coronavirus	NOUN	NN	_	7	compound	_	_
7	curbs	curb	NOUN	NNS	_	5	dobj	_	_
8	,	,	PUNCT	,	_	11	punct	_	_
9	many	many	ADJ	JJ	_	10	amod	_	_
10	places	place	NOUN	NNS	_	11	nsubj	_	_
11	report	report	VERB	VBP	_	0	ROOT	_	_
12	zero	zero	NUM	CD	_	14	nummod	_	_
13	new	new	ADJ	JJ	_	14	amod	_	_
14	cases	case	NOUN	NNS	_	11	dobj	_	_"
Bahrain and Kuwait confirm first cases of coronavirus disease,neutral,"# text = Bahrain and Kuwait confirm first cases of coronavirus disease
1	Bahrain	Bahrain	PROPN	NNP	_	4	nsubj	_	_
2	and	and	CCONJ	CC	_	1	cc	_	_
3	Kuwait	Kuwait	PROPN	NNP	_	1	conj	_	_
4	confirm	confirm	VERB	VBP	_	0	ROOT	_	_
5	first	first	ADJ	JJ	_	6	amod	_	_
6	cases	case	NOUN	NNS	_	4	dobj	_	_
7	of	of	ADP	IN	_	6	prep	_	_
8	coronavirus	coronavirus	NOUN	NN	_	9	compound	_	_
9	disease	disease	NOUN	NN	_	7	pobj	_	_"
Coronavirus: South Korea declares 'highest alert' as infections surge,neutral,"# text = Coronavirus: South Korea declares 'highest alert' as infections surge
1	Coronavirus	Coronavirus	PROPN	NNP	_	5	npadvmod	_	_
2	:	:	PUNCT	:	_	5	punct	_	_
3	South	South	PROPN	NNP	_	4	compound	_	_
4	Korea	Korea	PROPN	NNP	_	5	nsubj	_	_
5	declares	declare	VERB	VBZ	_	0	ROOT	_	_
6	'	'	PART	POS	_	5	punct	_	_
7	highest	high	ADJ	JJS	_	8	amod	_	_
8	alert	alert	ADJ	JJ	_	5	dobj	_	_
9	'	'	PUNCT	''	_	8	punct	_	_
10	as	as	SCONJ	IN	_	12	mark	_	_
11	infections	infection	NOUN	NNS	_	12	nsubj	_	_
12	surge	surge	VERB	VBP	_	5	advcl	_	_"
Worried about Coronavirus? Tell Trump to reverse cuts to critical US agencies | TheHill #Maddow,neutral,"# text = Worried about Coronavirus?
1	Worried	worry	VERB	VBN	_	0	ROOT	_	_
2	about	about	ADP	IN	_	1	prep	_	_
3	Coronavirus	Coronavirus	PROPN	NNP	_	2	pobj	_	_
4	?	?	PUNCT	.	_	1	punct	_	_

# text = Tell Trump to reverse cuts to critical US agencies | TheHill #Maddow
1	Tell	tell	VERB	VB	_	0	ROOT	_	_
2	Trump	Trump	PROPN	NNP	_	1	dobj	_	_
3	to	to	PART	TO	_	4	aux	_	_
4	reverse	reverse	VERB	VB	_	1	xcomp	_	_
5	cuts	cut	NOUN	NNS	_	4	dobj	_	_
6	to	to	ADP	IN	_	5	prep	_	_
7	critical	critical	ADJ	JJ	_	9	amod	_	_
8	US	US	PROPN	NNP	_	9	compound	_	_
9	agencies	agency	NOUN	NNS	_	6	pobj	_	_
10	|	|	NOUN	NN	_	11	compound	_	_
11	TheHill	TheHill	PROPN	NNP	_	1	advcl	_	_
12	#	#	SYM	$	_	1	dep	_	_
13	Maddow	Maddow	PROPN	NNP	_	1	dobj	_	_"
@kidsmoove Let me guess the coronavirus. Just kidding,neutral,"# text = @kidsmoove Let me guess the coronavirus.
1	@kidsmoove	@kidsmoove	PROPN	NNP	_	2	nsubj	_	_
2	Let	let	VERB	VB	_	0	ROOT	_	_
3	me	I	PRON	PRP	_	4	nsubj	_	_
4	guess	guess	VERB	VB	_	2	ccomp	_	_
5	the	the	DET	DT	_	6	det	_	_
6	coronavirus	coronavirus	NOUN	NN	_	4	dobj	_	_
7	.	.	PUNCT	.	_	2	punct	_	_

# text = Just kidding
1	Just	just	ADV	RB	_	2	advmod	_	_
2	kidding	kid	VERB	VBG	_	0	ROOT	_	_"
Coronavirus sends global stock markets in tailspin amid rising pandemic concerns — RT Business News,neutral,"# text = Coronavirus sends global stock markets in tailspin amid rising pandemic concerns — RT Business News
1	Coronavirus	Coronavirus	PROPN	NNP	_	2	nsubj	_	_
2	sends	send	VERB	VBZ	_	0	ROOT	_	_
3	global	global	ADJ	JJ	_	5	amod	_	_
4	stock	stock	NOUN	NN	_	5	compound	_	_
5	markets	market	NOUN	NNS	_	2	dobj	_	_
6	in	in	ADP	IN	_	2	prep	_	_
7	tailspin	tailspin	NOUN	NN	_	6	pobj	_	_
8	amid	amid	ADP	IN	_	2	prep	_	_
9	rising	rise	VERB	VBG	_	11	amod	_	_
10	pandemic	pandemic	ADJ	JJ	_	11	amod	_	_
11	concerns	concern	NOUN	NNS	_	8	pobj	_	_
12	—	—	PUNCT	:	_	11	punct	_	_
13	RT	RT	PROPN	NNP	_	15	compound	_	_
14	Business	Business	PROPN	NNP	_	15	compound	_	_
15	News	News	PROPN	NNP	_	11	appos	_	_"
