tweet,original_sentiment,conllu_parse
Levelheaded read on Coronavirus,neutral,"# text = Levelheaded read on Coronavirus
1	Levelheaded	Levelheaded	NOUN	NNS	_	2	nsubj	_	_
2	read	read	VERB	VBD	_	0	ROOT	_	_
3	on	on	ADP	IN	_	2	prep	_	_
4	Coronavirus	Coronavirus	PROPN	NNP	_	3	pobj	_	_"
Coronavirus: Americans who have been to China recently will be sent to these 11 airports,neutral,"# text = Coronavirus: Americans who have been to China recently will be sent to these 11 airports
1	Coronavirus	Coronavirus	PROPN	NNP	_	12	dep	_	_
2	:	:	PUNCT	:	_	1	punct	_	_
3	Americans	Americans	PROPN	NNPS	_	12	nsubjpass	_	_
4	who	who	PRON	WP	_	6	nsubj	_	_
5	have	have	AUX	VBP	_	6	aux	_	_
6	been	be	AUX	VBN	_	3	relcl	_	_
7	to	to	ADP	IN	_	6	prep	_	_
8	China	China	PROPN	NNP	_	7	pobj	_	_
9	recently	recently	ADV	RB	_	12	advmod	_	_
10	will	will	AUX	MD	_	12	aux	_	_
11	be	be	AUX	VB	_	12	auxpass	_	_
12	sent	send	VERB	VBN	_	0	ROOT	_	_
13	to	to	ADP	IN	_	12	dative	_	_
14	these	these	DET	DT	_	16	det	_	_
15	11	11	NUM	CD	_	16	nummod	_	_
16	airports	airport	NOUN	NNS	_	13	pobj	_	_"
"@MaintenanceJoh1 True, with one worrisome caveat - the Coronavirus is destroying China's economy and risks damaging ours.",neutral,"# text = @MaintenanceJoh1 True, with one worrisome caveat - the Coronavirus is destroying China's economy and risks damaging ours.
1	@MaintenanceJoh1	@maintenancejoh1	VERB	VB	_	0	ROOT	_	_
2	True	true	ADJ	JJ	_	1	acomp	_	_
3	,	,	PUNCT	,	_	1	punct	_	_
4	with	with	ADP	IN	_	1	prep	_	_
5	one	one	NUM	CD	_	7	nummod	_	_
6	worrisome	worrisome	ADJ	JJ	_	7	amod	_	_
7	caveat	caveat	NOUN	NN	_	4	pobj	_	_
8	-	-	PUNCT	,	_	7	punct	_	_
9	the	the	DET	DT	_	10	det	_	_
10	Coronavirus	Coronavirus	PROPN	NNP	_	12	nsubj	_	_
11	is	be	AUX	VBZ	_	12	aux	_	_
12	destroying	destroy	VERB	VBG	_	1	ccomp	_	_
13	China	China	PROPN	NNP	_	15	poss	_	_
14	's	's	PART	POS	_	13	case	_	_
15	economy	economy	NOUN	NN	_	12	dobj	_	_
16	and	and	CCONJ	CC	_	15	cc	_	_
17	risks	risk	NOUN	NNS	_	15	conj	_	_
18	damaging	damage	VERB	VBG	_	12	advcl	_	_
19	ours	our	NOUN	NNS	_	18	dobj	_	_
20	.	.	PUNCT	.	_	1	punct	_	_"
Why are people stocking up on toilet paper for the corona virus... does it cause chorro or wtf,negative,"# text = Why are people stocking up on toilet paper for the corona virus... does it cause chorro or wtf
1	Why	why	SCONJ	WRB	_	4	advmod	_	_
2	are	be	AUX	VBP	_	4	aux	_	_
3	people	people	NOUN	NNS	_	4	nsubj	_	_
4	stocking	stock	VERB	VBG	_	16	ccomp	_	_
5	up	up	ADP	RP	_	4	prt	_	_
6	on	on	ADP	IN	_	4	prep	_	_
7	toilet	toilet	NOUN	NN	_	8	compound	_	_
8	paper	paper	NOUN	NN	_	6	pobj	_	_
9	for	for	ADP	IN	_	4	prep	_	_
10	the	the	DET	DT	_	12	det	_	_
11	corona	corona	PROPN	NNP	_	12	compound	_	_
12	virus	virus	NOUN	NN	_	9	pobj	_	_
13	...	...	PUNCT	:	_	4	punct	_	_
14	does	do	AUX	VBZ	_	16	aux	_	_
15	it	it	PRON	PRP	_	16	nsubj	_	_
16	cause	cause	VERB	VB	_	0	ROOT	_	_
17	chorro	chorro	PROPN	NNP	_	16	dobj	_	_
18	or	or	CCONJ	CC	_	17	cc	_	_
19	wtf	wtf	NOUN	NN	_	17	conj	_	_"
Fuck that Coronavirus Shit. That is all.,negative,"# text = Fuck that Coronavirus Shit.
1	Fuck	fuck	VERB	VB	_	0	ROOT	_	_
2	that	that	SCONJ	IN	_	4	det	_	_
3	Coronavirus	Coronavirus	PROPN	NNP	_	4	compound	_	_
4	Shit	Shit	PROPN	NNP	_	1	appos	_	_
5	.	.	PUNCT	.	_	1	punct	_	_

# text = That is all.
1	That	that	PRON	DT	_	2	nsubj	_	_
2	is	be	AUX	VBZ	_	0	ROOT	_	_
3	all	all	PRON	DT	_	2	attr	_	_
4	.	.	PUNCT	.	_	2	punct	_	_"
I look like the fucking coronavirus today,negative,"# text = I look like the fucking coronavirus today
1	I	I	PRON	PRP	_	2	nsubj	_	_
2	look	look	VERB	VBP	_	0	ROOT	_	_
3	like	like	ADP	IN	_	2	prep	_	_
4	the	the	DET	DT	_	6	det	_	_
5	fucking	fucking	ADJ	JJ	_	6	amod	_	_
6	coronavirus	coronavirus	NOUN	NN	_	3	pobj	_	_
7	today	today	NOUN	NN	_	2	npadvmod	_	_"
"After doing some research, I don't have the Coronavirus (thank god). Whatever I have came on too hard and fast for it to that.",negative,"# text = After doing some research, I don't have the Coronavirus (thank god).
1	After	after	ADP	IN	_	9	prep	_	_
2	doing	do	VERB	VBG	_	1	pcomp	_	_
3	some	some	DET	DT	_	4	det	_	_
4	research	research	NOUN	NN	_	2	dobj	_	_
5	,	,	PUNCT	,	_	9	punct	_	_
6	I	I	PRON	PRP	_	9	nsubj	_	_
7	do	do	AUX	VBP	_	9	aux	_	_
8	n't	not	PART	RB	_	9	neg	_	_
9	have	have	VERB	VB	_	0	ROOT	_	_
10	the	the	DET	DT	_	11	det	_	_
11	Coronavirus	Coronavirus	PROPN	NNP	_	9	dobj	_	_
12	(	(	PUNCT	-LRB-	_	13	punct	_	_
13	thank	thank	VERB	VBP	_	11	parataxis	_	_
14	god	god	PROPN	NNP	_	13	dobj	_	_
15	)	)	PUNCT	-RRB-	_	11	punct	_	_
16	.	.	PUNCT	.	_	9	punct	_	_

# text = Whatever I have came on too hard and fast for it to that.
1	Whatever	whatever	PRON	WDT	_	12	pobj	_	_
2	I	I	PRON	PRP	_	4	nsubj	_	_
3	have	have	AUX	VBP	_	4	aux	_	_
4	came	come	VERB	VBD	_	0	ROOT	_	_
5	on	on	ADP	RP	_	4	prt	_	_
6	too	too	ADV	RB	_	7	advmod	_	_
7	hard	hard	ADJ	JJ	_	4	advmod	_	_
8	and	and	CCONJ	CC	_	7	cc	_	_
9	fast	fast	VERB	VB	_	7	conj	_	_
10	for	for	ADP	IN	_	9	prep	_	_
11	it	it	PRON	PRP	_	10	pobj	_	_
12	to	to	ADP	IN	_	4	prep	_	_
13	that	that	PRON	DT	_	12	pobj	_	_
14	.	.	PUNCT	.	_	4	punct	_	_"
Like what's the correlation between coronavirus and toilet paper? I'm genuinely confused,negative,"# text = Like what's the correlation between coronavirus and toilet paper?
1	Like	like	ADP	IN	_	0	ROOT	_	_
2	what	what	PRON	WP	_	3	attr	_	_
3	's	be	AUX	VBZ	_	1	pcomp	_	_
4	the	the	DET	DT	_	5	det	_	_
5	correlation	correlation	NOUN	NN	_	3	nsubj	_	_
6	between	between	ADP	IN	_	5	prep	_	_
7	coronavirus	coronavirus	NOUN	NN	_	6	pobj	_	_
8	and	and	CCONJ	CC	_	7	cc	_	_
9	toilet	toilet	NOUN	NN	_	10	compound	_	_
10	paper	paper	NOUN	NN	_	7	conj	_	_
11	?	?	PUNCT	.	_	1	punct	_	_

# text = I'm genuinely confused
1	I	I	PRON	PRP	_	2	nsubj	_	_
2	'm	be	AUX	VBP	_	0	ROOT	_	_
3	genuinely	genuinely	ADV	RB	_	4	advmod	_	_
4	confused	confused	ADJ	JJ	_	2	acomp	_	_"
my twitter feed: halftime show... g eazy and meg the stallion... coronavirus,neutral,"# text = my twitter feed: halftime show... g eazy and meg the stallion... coronavirus
1	my	my	PRON	PRP$	_	3	poss	_	_
2	twitter	twitter	NOUN	NN	_	3	compound	_	_
3	feed	feed	NOUN	NN	_	0	ROOT	_	_
4	:	:	PUNCT	:	_	3	punct	_	_
5	halftime	halftime	NOUN	NN	_	6	compound	_	_
6	show	show	NOUN	NN	_	3	appos	_	_
7	...	...	PUNCT	:	_	6	punct	_	_
8	g	g	PROPN	NNP	_	6	appos	_	_
9	eazy	eazy	ADJ	JJ	_	8	amod	_	_
10	and	and	CCONJ	CC	_	8	cc	_	_
11	meg	meg	VERB	VB	_	8	conj	_	_
12	the	the	DET	DT	_	13	det	_	_
13	stallion	stallion	NOUN	NN	_	11	dobj	_	_
14	...	...	PUNCT	:	_	6	punct	_	_
15	coronavirus	coronavirus	NOUN	NN	_	6	appos	_	_"
CNBC: China reportedly accuses US of spreading fear over coronavirus outbreak,neutral,"# text = CNBC: China reportedly accuses US of spreading fear over coronavirus outbreak
1	CNBC	CNBC	PROPN	NNP	_	5	dep	_	_
2	:	:	PUNCT	:	_	5	punct	_	_
3	China	China	PROPN	NNP	_	5	nsubj	_	_
4	reportedly	reportedly	ADV	RB	_	5	advmod	_	_
5	accuses	accuse	VERB	VBZ	_	0	ROOT	_	_
6	US	US	PROPN	NNP	_	5	dobj	_	_
7	of	of	ADP	IN	_	5	prep	_	_
8	spreading	spread	VERB	VBG	_	7	pcomp	_	_
9	fear	fear	NOUN	NN	_	8	dobj	_	_
10	over	over	ADP	IN	_	9	prep	_	_
11	coronavirus	coronavirus	NOUN	NN	_	12	compound	_	_
12	outbreak	outbreak	NOUN	NN	_	10	pobj	_	_"
