ID,tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed
1.24514e+18,Can Anyone tell me if you took the flu shot last year will it give you a positive result for Coronavirus even if you dont have it???,0,0,0,0,1,0,0
1.24514e+18,When someone you know.. apart of your family dies from the Coronavirus its shocking unexplainable. My whole day has been down.,0,0,0,0,0,1,0
1.24514e+18,"Dear soccer, I really miss you ,please come back already :( Also dear corona , Frick u for ruining everything",0,0,0,0,0,1,1
1.24514e+18,Update I destroyed the tire honestly if I get corona virus because of what just happened I deserved it,0,0,0,1,0,1,0
1.24514e+18,This feels like one big Stanford Prison Experiment. Ugh! quarantined corona,0,0,0,0,0,1,1
1.24514e+18,Someone should now come and tell us all this Coronavirus shit is just to have the best AprilFoolsDay .It would be a good news tho,1,0,0,0,0,0,1
1.24514e+18,Everything is bigger and CRAZIER IN texas. Coronavirustruth coronavirus Covid_19 CoronavirusPandemicUSA,0,0,0,0,0,0,1
1.24514e+18,"20 years from now* Hey mom, during 2020 how did you survive the corona virus?",1,0,0,1,0,1,0
1.24514e+18,"Thus, to ur point, a true count of coronavirus deaths is unlikely",0,0,0,1,0,1,0
1.24514e+18,"Yes. Want to get narrative out of corona, rightists, never do any right.",0,0,0,0,0,1,1
1.24514e+18,Soon as this corona shit is over imma hit the skatepark with my dad ASAP,1,0,0,0,0,0,0
1.24514e+18,We will beat this fucking virus F U Covid_19 K,1,0,0,0,0,0,1
1.24514e+18,"the world wants to know why you've thrown florida under the bus, what is your goal? covid19",0,0,0,0,0,0,1
1.24514e+18,Nothing worse than falling for a guy during corona.... cant even hug him bc social distancing,0,0,0,0,0,1,0
1.24514e+18,"Imagine 1pant of garri done enter 1300 because of Corona virus,Aside the disease kill us,we still day kill our self",0,0,0,1,0,1,0
1.24514e+18,Why dont you just take care of the Americans who have covid19 and finding the cure,0,0,0,0,0,0,1
1.24514e+18,COVID19 in my town. health rehab center tests positive. Just a matter of time before it came here.,0,0,0,1,1,0,0
1.24514e+18,tryna have them titying some more but corona wont let us,0,0,0,0,0,1,1
1.24514e+18,Police scared of the corona too....Ive barley seen them since this mess started. You good,0,0,0,0,1,0,0
1.24514e+18,"Brazil needs to be together with the world to fight the corona virus, a worldwide epidemic",1,1,0,0,0,0,0
1.24514e+18,"If the coronavirus ends up causing the end of me, I promise to haunt Donald Trump for the same number of years he's haunted this nation.",0,0,0,0,0,0,1
1.24514e+18,Team building is important during the Corona times. So is networking. :) Keep it up.,1,0,0,0,0,0,0
1.24514e+18,All Im saying is this corona shit wasnt a issue until I got my Drivers license,0,0,0,0,0,1,0
1.24514e+18,Coronavirus is just a NEW flu virus - it will disappear in Summer. Why panic? Just ban the flu infected Americans from traveling abroad.,1,0,0,0,0,0,0
1.24514e+18,Remember the Republicans and the president called a democrat hoax for COVID-19!,0,0,0,0,0,0,1
