ID,tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
1.24514e+18,I wouldn't be surprised Alabama ends up with the fewest confirmed cases of the Corona Virus.,1,0,0,0,0,0,0,0,0,0
1.24514e+18,So heart breaking any way you see it Prayers to all the families affected by the COVID19.,0,0,1,0,0,1,0,0,0,0
1.24514e+18,"my birthday is in exactly 2 months, pls join me as we say a prayer for corona to be gone by then so i can be 21 have some fun",1,0,1,0,0,0,0,0,0,0
1.24514e+18,"Nothing last forever, Corona Virus will Vanish this month. Happy New Month",1,0,0,0,0,0,0,0,0,0
1.24514e+18,My dad has been on the front lines helping people as a nurse and now he has the virus all corona jokes are officially canceled,0,0,0,0,0,1,0,0,0,0
1.24514e+18,Portrait of a Lady on Fire at TIFF Bell Lightbox in Toronto. the next day they closed due to covid19,0,0,0,0,0,1,0,0,0,0
1.24514e+18,Good news! But all the health officials in this hospital should be getting checked for coronavirus,0,1,1,0,1,0,0,0,0,0
1.24514e+18,EPIK H BREATHE WITH U IN 2M ++3 STEPS++ IS RISKY IN SEASON OF CRIMINAL JEW CORONA 01AP MMXX SEOUL ]]]]]]]]]]]]]]]]]]]]]]]]]]],0,0,0,0,0,1,1,0,0,0
1.24514e+18,Your Front Page More Americans died from the coronavirus then on 9/11 Trump has failed the American people again,0,0,0,0,0,0,1,0,0,0
1.24514e+18,So awesome! Please share NavajoNation NativeTwitter. COVID19 COVID19 CoronaVirus,1,0,0,0,0,0,0,0,0,0
1.24514e+18,Tomorrow is April 1st and I stg if anyone says they got corona as a joke Im blocking yall,0,0,0,0,0,0,1,0,0,0
1.24514e+18,if you worked your ass off for 4 years but wont get to graduate and celebrate all your hard work because of coronavirus say I...,0,0,0,0,0,1,0,0,0,0
1.24514e+18,Covid-19 USA: Much Worse Than It Needs To Be! branding,0,0,0,1,0,1,0,0,0,0
1.24514e+18,hey just a thought STOP GOING AND FUCKING HANGING OUT WITH YOUR FRIENDS AND SHIT AND HAVING CORONAVIRUS PARTIES people are FUCKING DYING,0,0,0,0,0,0,1,0,0,0
1.24514e+18,More dead Americans from Coronavirus than 9/11. And the Orange Thing is congratulating himself?,0,0,0,0,0,0,1,0,0,0
1.24514e+18,"wishing government says my people, covid19 is just a part of April mop.",0,0,0,1,0,1,1,0,0,0
1.24514e+18,alice has made me full on sob with a tik tok she made. when i say fuck you corona i mean it with my whole chest,0,0,0,0,0,1,1,0,0,0
1.24514e+18,DISGUSTING BEHAVIOR BY BIG BUSINESS BUT WHAT ELSE DO YOU EXPECT FROM THIS OLIGARCHY COVID19 COVID19,0,0,0,0,0,0,1,0,0,0
1.24514e+18,please STOP LEAVING YOUR HOUSES AND TAKING THIS CORONAVIRUS STUFF AS A JOKE AND KEEP GOING OUT WITH FRIENDS AND STUFF SERIOUSLY,0,0,0,0,0,0,1,0,0,0
1.24514e+18,YES. STAY HOME PEOPLE. FlattenTheCurve COVID19Ontario Covid_19,1,0,0,0,1,0,0,0,0,0
1.24515e+18,Do you Want to Kill the CORONAVIRUS = Yes or No ? Well .. This is Best Hope for Everyone = if You want to LIVE,1,0,0,0,0,0,0,0,0,0
1.24515e+18,losing someone you love is devastating. death is so permanent. not being able to say goodbye. heartbreaking. coronavirus,0,0,0,0,0,1,0,0,0,0
1.24515e+18,The Tragedy of Corona World anxiety grief Explosive Growth and Fear Do keep safe inside!,0,0,1,0,0,1,0,0,0,0
1.24515e+18,... Next Time You're In The Coronavirus Briefing...Please Ask,0,0,0,0,0,0,1,0,0,0
1.24515e+18,YOU CAUSED THE CORONAVIRUS SURGE ! You don't have a clue what to do. You're a friggin' mess !!!,0,0,0,0,0,0,1,0,0,0
1.24515e+18,say it louder cause Corona aint stopping June 18th i know that much,0,0,0,1,1,0,0,0,0,0
1.24515e+18,Its been 3 months and it FEELS LIKE 3 YEARS ALREADY. STUPID COVID19,0,0,0,0,0,1,1,0,0,0
1.24515e+18,"I'll say it again, good work ! This is LEADERSHIP in the MEDIA!! MembersOfThePressWTF COVID19 VoteBlue2020",0,1,0,0,0,0,0,0,0,0
1.24515e+18,"If Trump says the next two weeks will be painful, you know the next 8 weeks are going to be brutal. coronavirus",0,0,0,1,0,0,0,0,0,0
1.24515e+18,Follow Social Distance . Stay at Home. Fight against Corona.,1,0,0,0,0,0,0,0,0,0
1.24515e+18,This lawyer is suing DeSantis! Everyone retweet this! DeSantisBetrayedFlorida Florida COVID coronavirus,0,0,0,1,0,0,1,0,0,0
1.24515e+18,"Second confirmed case of COVID-19 at HOU2. Please, shutdown and deep clean. COVID19",0,0,0,0,1,1,1,0,0,0
1.24515e+18,I think I speak for the entire class of 2020 when I say fuck you covid-19,0,0,0,0,0,0,1,0,0,0
